"park","Network","metric","mean","lower95","upper95"
"PETE","MIDN","Sap_Dens_Total",0.113602350956437,0.0897821374475071,0.138102818063908
"RICH","MIDN","Sap_Dens_Total",0.13743957080533,0.10538261997406,0.172075816531069
"SAHI","NCBN","Sap_Dens_Total",0.0412687183115198,0.0206343591557599,0.0560075462799198
"THST","NCBN","Sap_Dens_Total",0.0663247258577997,0.0353731871241599,0.1031717957788
"VAFO","MIDN","Sap_Dens_Total",0.0328465309010056,0.0189499216736571,0.0530703084205029
"ANTI","NCRN","Sap_Dens_Total",0.107026566170535,0.0571186271575376,0.17867994521691
"CATO","NCRN","Sap_Dens_Total",0.021175785489293,0.0146786694868963,0.0283948032697338
"CHOH","NCRN","Sap_Dens_Total",0.103604134732539,0.0811146484298236,0.130342333844279
"GWMP","NCRN","Sap_Dens_Total",0.0925598396415517,0.0613135243485439,0.127343473646976
"HAFE","NCRN","Sap_Dens_Total",0.0943284989977597,0.0530597806862399,0.14388043862752
"MANA","NCRN","Sap_Dens_Total",0.056874536160414,0.0277436761758117,0.0992009821261367
"MONO","NCRN","Sap_Dens_Total",0.110049915497387,0.0235821247494399,0.264984475101207
"NACE","NCRN","Sap_Dens_Total",0.101452265849153,0.0758926816806194,0.131666863184373
"PRWI","NCRN","Sap_Dens_Total",0.121163330609191,0.105871542474253,0.138329491073353
"ROCR","NCRN","Sap_Dens_Total",0.0868815122347787,0.0533700718013641,0.122875281589187
"WOTR","NCRN","Sap_Dens_Total",0.0530597806862399,0.0294776559367999,0.0864677907479466
"ACAD","NETN","Sap_Dens_Total",0.209734577276343,0.179600298932041,0.246264856199224
"MABI","NETN","Sap_Dens_Total",0.134800671793512,0.10165296561478,0.173500618757182
"MIMA","NETN","Sap_Dens_Total",0.102094935030496,0.0822063113232564,0.124635375232034
"MORR","NETN","Sap_Dens_Total",0.0994431185361973,0.0795544948289578,0.136379133992499
"ROVA","NETN","Sap_Dens_Total",0.100106072659772,0.0914876690533016,0.110713338636966
"SAGA","NETN","Sap_Dens_Total",0.13385359447412,0.102284350494374,0.167948377972244
"SARA","NETN","Sap_Dens_Total",0.111044815698754,0.087841421373641,0.149164677804296
"WEFA","NETN","Sap_Dens_Total",0.0822063113232564,0.0795544948289578,0.0875099443118537
"ALPO","ERMN","Seed_Dens_Total",0.55236132205106,0.38782816229117,0.738613762927606
"BLUE","ERMN","Seed_Dens_Total",1.87649164677804,1.21114260143198,2.70047732696897
"DEWA","ERMN","Seed_Dens_Total",1.15950676213206,0.84478129159873,1.51537414083493
"FONE","ERMN","Seed_Dens_Total",2.33691328560064,1.58410401750199,3.17228520286396
"FRHI","ERMN","Seed_Dens_Total",1.26988862370724,0.638250795544948,2.03570007955449
"GARI","ERMN","Seed_Dens_Total",0.942815471455089,0.67748322571892,1.23073766004452
"JOFL","ERMN","Seed_Dens_Total",1.51485017236807,0.705963272341555,2.78610613895519
"NERI","ERMN","Seed_Dens_Total",1.26975213315239,0.973704119674918,1.59584756734834
"APCO","MIDN","Seed_Dens_Total",1.25892857142857,0.75282738095238,1.85126488095238
"BOWA","MIDN","Seed_Dens_Total",3.28125,1.8328125,4.84401041666667
"COLO","NCBN","Seed_Dens_Total",1.36524822695035,0.833106884057971,1.98965435606061
"FRSP","MIDN","Seed_Dens_Total",0.957532051282052,0.70673076923077,1.21478365384615
"GETT","MIDN","Seed_Dens_Total",2.53787878787879,1.83838383838384,3.28573232323232
"GEWA","NCBN","Seed_Dens_Total",0.458333333333334,0.25,0.677083333333334
"HOFU","MIDN","Seed_Dens_Total",1.578125,0.671875,2.823046875
"PETE","MIDN","Seed_Dens_Total",0.806089743589744,0.416626602564103,1.4072516025641
"RICH","MIDN","Seed_Dens_Total",0.5625,0.333268229166667,0.851953124999999
"SAHI","NCBN","Seed_Dens_Total",0.458333333333333,0.0833333333333335,0.833333333333333
"THST","NCBN","Seed_Dens_Total",0.260416666666667,0.135416666666667,0.40625
"VAFO","MIDN","Seed_Dens_Total",0.589285714285715,0.360044642857143,0.866071428571429
"ANTI","NCRN","Seed_Dens_Total",1.30769230769231,0.698717948717949,2.03221153846154
"CATO","NCRN","Seed_Dens_Total",0.753472222222222,0.423386125283447,1.18270260786052
"CHOH","NCRN","Seed_Dens_Total",0.588963963963964,0.452194444444444,0.728888888888889
"GWMP","NCRN","Seed_Dens_Total",0.795833333333334,0.3790625,1.27927083333333
"HAFE","NCRN","Seed_Dens_Total",0.666666666666667,0.433333333333333,0.924999999999999
"MANA","NCRN","Seed_Dens_Total",0.794117647058823,0.308823529411764,1.45600490196078
"MONO","NCRN","Seed_Dens_Total",0.444444444444444,0.188888888888889,0.755555555555556
"NACE","NCRN","Seed_Dens_Total",0.606382978723404,0.380168704710145,0.877829827530625
"PRWI","NCRN","Seed_Dens_Total",0.463793103448276,0.358031609195402,0.581623563218391
"ROCR","NCRN","Seed_Dens_Total",0.596491228070176,0.18859649122807,1.16710526315789
"WOTR","NCRN","Seed_Dens_Total",2.25,0.361111111111111,4
"ACAD","NETN","Seed_Dens_Total",0.512584074636581,0.403181577107592,0.640210276994287
"MABI","NETN","Seed_Dens_Total",0.997745955979846,0.620773667462211,1.39502121453195
"MIMA","NETN","Seed_Dens_Total",0.343410236011668,0.209493503049589,0.49738133121188
"MORR","NETN","Seed_Dens_Total",0.55877561844149,0.26518164942986,0.879976891313407
"ROVA","NETN","Seed_Dens_Total",0.623839830283744,0.38650225404402,0.90035799522673
"SAGA","NETN","Seed_Dens_Total",0.218459168339837,0.113649278327083,0.343568082231567
"SARA","NETN","Seed_Dens_Total",1.05824051975603,0.701881961018298,1.53163119862106
"WEFA","NETN","Seed_Dens_Total",0.485282418456643,0.204189870060992,0.832802970034474
"ALPO","ERMN","Sap_Dens_NatCan",0.0117523685542779,0.00452014175164534,0.0198886237072395
"BLUE","ERMN","Sap_Dens_NatCan",0.0397772474144789,0.0293357199681782,0.0522076372315036
"DEWA","ERMN","Sap_Dens_NatCan",0.0544948289578361,0.0365942640405648,0.0728659779263527
"FONE","ERMN","Sap_Dens_NatCan",0.0328162291169451,0.0139220365950676,0.0546937151949085
"FRHI","ERMN","Sap_Dens_NatCan",0.0228719172633254,0.00994431185361974,0.037788385043755
"GARI","ERMN","Sap_Dens_NatCan",0.0781338788498693,0.0522654529980944,0.106722546592175
"JOFL","ERMN","Sap_Dens_NatCan",0.0381198621055423,0.0165738530893662,0.061323256430655
"NERI","ERMN","Sap_Dens_NatCan",0.0670753583851998,0.055766140983044,0.0795544948289579
"APCO","MIDN","Sap_Dens_NatCan",0.127596139269291,0.0892541310829248,0.1692964946856
