"","park","order","labels","metgrp","sign","num_crit","park_reggrp","label_order","park_dm","park_ord"
"64","GWMP",11,"Tree Density","Native Canopy 
 Trends","nonsign",7,"Imminent Failure","Tree Density","GWMP","GWMP"
"65","GWMP",12,"Sapling BA","Native Canopy 
 Trends","nonsign",7,"Imminent Failure","Sapling BA","GWMP","GWMP"
"66","GWMP",13,"Sapling Density","Native Canopy 
 Trends","signdec_bad",7,"Imminent Failure","Sapling Density","GWMP","GWMP"
"67","GWMP",14,"Seedling Density","Native Canopy 
 Trends","nonsign",7,"Imminent Failure","Seedling Density","GWMP","GWMP"
"68","GWMP",15,"Stocking Index","Native Canopy 
 Trends","nonsign",7,"Imminent Failure","Stocking Index","GWMP","GWMP"
"69","GWMP",16,"Tree BA","Native Subcan. 
 Trends","nonsign",7,"Imminent Failure","Tree BA","GWMP","GWMP"
"70","GWMP",17,"Tree Density","Native Subcan. 
 Trends","nonsign",7,"Imminent Failure","Tree Density","GWMP","GWMP"
"71","GWMP",18,"Sapling BA","Native Subcan. 
 Trends","nonsign",7,"Imminent Failure","Sapling BA","GWMP","GWMP"
"72","GWMP",19,"Sapling Density","Native Subcan. 
 Trends","nonsign",7,"Imminent Failure","Sapling Density","GWMP","GWMP"
"73","GWMP",20,"Seedling Density","Native Subcan. 
 Trends","nonsign",7,"Imminent Failure","Seedling Density","GWMP","GWMP"
"74","GWMP",21,"Tree BA","Exotic 
 Trends","nonsign",7,"Imminent Failure","Tree BA","GWMP","GWMP"
"75","GWMP",22,"Tree Density","Exotic 
 Trends","signdec_good",7,"Imminent Failure","Tree Density","GWMP","GWMP"
"76","GWMP",23,"Sapling BA","Exotic 
 Trends","notmod",7,"Imminent Failure","Sapling BA","GWMP","GWMP"
"77","GWMP",24,"Sapling Density","Exotic 
 Trends","notmod",7,"Imminent Failure","Sapling Density","GWMP","GWMP"
"78","GWMP",25,"Seedling Density","Exotic 
 Trends","nonsign",7,"Imminent Failure","Seedling Density","GWMP","GWMP"
"79","MANA",1,"Sapling Density","Regen. Status","critical",7,"Imminent Failure","Sapling Density","MANA*","MANA*"
"80","MANA",2,"Seedling Density","Regen. Status","caution",7,"Imminent Failure","Seedling Density","MANA*","MANA*"
"81","MANA",3,"% Stocked Plots","Regen. Status","critical",7,"Imminent Failure","% Stocked Plots","MANA*","MANA*"
"82","MANA",4,"Stocking Index","Regen. Status","critical",7,"Imminent Failure","Stocking Index","MANA*","MANA*"
"83","MANA",9,"Deer Browse Impacts","Regen. Status","critical",7,"Imminent Failure","Deer Browse Impacts","MANA*","MANA*"
"84","MANA",10,"Flat Tree Diam. Dist.","Regen. Status","acceptable",7,"Imminent Failure","Flat Tree Diam. Dist.","MANA*","MANA*"
"85","MANA",5,"Sapling Composition","Regen. Status","critical",7,"Imminent Failure","Sapling Composition","MANA*","MANA*"
"86","MANA",6,"Seedling Composition","Regen. Status","critical",7,"Imminent Failure","Seedling Composition","MANA*","MANA*"
"87","MANA",7,"Sorensen Sapling","Regen. Status","acceptable",7,"Imminent Failure","Sorensen Sapling","MANA*","MANA*"
"88","MANA",8,"Sorensen Seedling","Regen. Status","critical",7,"Imminent Failure","Sorensen Seedling","MANA*","MANA*"
